;Tweet;Sentimen;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
113;yaudah di gpp. let covid do ur duties aja;1.0;yaudah di gpp let covid do ur duties aja;['yaudah', 'di', 'gpp', 'let', 'covid', 'do', 'ur', 'duties', 'aja'];['yaudah', 'di', 'baik', 'let', 'covid', 'do', 'ur', 'duties', 'saja'];['yaudah', 'let', 'covid', 'do', 'ur', 'duties'];yaudah let covid do ur duties;yaudah let covid do ur duties
114;Persib Potong 75 Persen Gaji Pemain karena Corona Covid-19;0.0;persib potong number persen gaji pemain karena corona covid number;['persib', 'potong', 'number', 'persen', 'gaji', 'pemain', 'karena', 'corona', 'covid', 'number'];['persib', 'potong', 'number', 'persen', 'gaji', 'pemain', 'karena', 'corona', 'covid', 'number'];['persib', 'potong', 'number', 'persen', 'gaji', 'pemain', 'corona', 'covid', 'number'];persib potong number persen gaji pemain corona covid number;persib potong number persen gaji main corona covid number
115;virus Corona COVID-19 melanda saat Indonesia menghadapi musim pancaroba. Ancaman demam berdarah dengue (DBD) juga sedang menghantui.;0.0;virus corona allcaps covid allcaps number melanda saat indonesia menghadapi musim pancaroba ancaman demam berdarah dengue allcaps dbd allcaps juga sedang menghantui;['virus', 'corona', 'allcaps', 'covid', 'allcaps', 'number', 'melanda', 'saat', 'indonesia', 'menghadapi', 'musim', 'pancaroba', 'ancaman', 'demam', 'berdarah', 'dengue', 'allcaps', 'dbd', 'allcaps', 'juga', 'sedang', 'menghantui'];['virus', 'corona', 'allcaps', 'covid', 'allcaps', 'number', 'melanda', 'saat', 'indonesia', 'menghadapi', 'musim', 'pancaroba', 'ancaman', 'demam', 'berdarah', 'dengue', 'allcaps', 'dbd', 'allcaps', 'juga', 'sedang', 'menghantui'];['virus', 'corona', 'allcaps', 'covid', 'allcaps', 'number', 'melanda', 'indonesia', 'menghadapi', 'musim', 'pancaroba', 'ancaman', 'demam', 'berdarah', 'dengue', 'allcaps', 'dbd', 'allcaps', 'menghantui'];virus corona allcaps covid allcaps number melanda indonesia menghadapi musim pancaroba ancaman demam berdarah dengue allcaps dbd allcaps menghantui;virus corona allcaps covid allcaps number landa indonesia hadap musim pancaroba ancam demam darah dengue allcaps dbd allcaps hantu
116;ALLAH MAHA KUASA !!! Kisah Nyata Mengharukan... Pelajar Muslimah Indonesia Yang Terkena Covid-19 di New York Alhamdulillah.. Allahu Akbar ;-1.0;allcaps allah maha kuasa allcaps repeated kisah nyata mengharukan repeated pelajar muslimah indonesia yang terkena covid number di new york alhamdulillah repeated allahu akbar;['allcaps', 'allah', 'maha', 'kuasa', 'allcaps', 'repeated', 'kisah', 'nyata', 'mengharukan', 'repeated', 'pelajar', 'muslimah', 'indonesia', 'yang', 'terkena', 'covid', 'number', 'di', 'new', 'york', 'alhamdulillah', 'repeated', 'allahu', 'akbar'];['allcaps', 'allah', 'maha', 'kuasa', 'allcaps', 'repeated', 'kisah', 'nyata', 'mengharukan', 'repeated', 'pelajar', 'muslimah', 'indonesia', 'yang', 'terkena', 'covid', 'number', 'di', 'new', 'york', 'syukur', 'repeated', 'allahu', 'akbar'];['allcaps', 'allah', 'maha', 'kuasa', 'allcaps', 'repeated', 'kisah', 'nyata', 'mengharukan', 'repeated', 'pelajar', 'muslimah', 'indonesia', 'terkena', 'covid', 'number', 'new', 'york', 'syukur', 'repeated', 'allahu', 'akbar'];allcaps allah maha kuasa allcaps repeated kisah nyata mengharukan repeated pelajar muslimah indonesia terkena covid number new york syukur repeated allahu akbar;allcaps allah maha kuasa allcaps repeated kisah nyata haru repeated ajar muslimah indonesia kena covid number new york syukur repeated allahu akbar
117;Ngaur kamu,mosok tenaga medis meninggal kamu sangkutkan dgn fatwa mui,emngya semua pasien covid itu dari mesjid sumbernya.hadeuh;-1.0;ngaur kamu mosok tenaga medis meninggal kamu sangkutkan dgn fatwa mui emngya semua pasien covid itu dari mesjid sumbernya hadeuh;['ngaur', 'kamu', 'mosok', 'tenaga', 'medis', 'meninggal', 'kamu', 'sangkutkan', 'dgn', 'fatwa', 'mui', 'emngya', 'semua', 'pasien', 'covid', 'itu', 'dari', 'mesjid', 'sumbernya', 'hadeuh'];['ngaur', 'kamu', 'mosok', 'tenaga', 'medis', 'meninggal', 'kamu', 'sangkutkan', 'dengan', 'fatwa', 'mui', 'emngya', 'semua', 'pasien', 'covid', 'itu', 'dari', 'mesjid', 'sumbernya', 'hadeuh'];['ngaur', 'mosok', 'tenaga', 'medis', 'meninggal', 'sangkutkan', 'fatwa', 'mui', 'emngya', 'pasien', 'covid', 'mesjid', 'sumbernya', 'hadeuh'];ngaur mosok tenaga medis meninggal sangkutkan fatwa mui emngya pasien covid mesjid sumbernya hadeuh;ngaur mosok tenaga medis tinggal sangkut fatwa mui emngya pasien covid mesjid sumber hadeuh
118;Sempat Nihil Tiga Hari, Kini Pasien Positif Covid-19 Bertambah Satu Orang;0.0;sempat nihil tiga hari kini pasien positif covid number bertambah satu orang;['sempat', 'nihil', 'tiga', 'hari', 'kini', 'pasien', 'positif', 'covid', 'number', 'bertambah', 'satu', 'orang'];['sempat', 'nihil', 'tiga', 'hari', 'kini', 'pasien', 'positif', 'covid', 'number', 'bertambah', 'satu', 'orang'];['nihil', 'pasien', 'positif', 'covid', 'number', 'bertambah', 'orang'];nihil pasien positif covid number bertambah orang;nihil pasien positif covid number tambah orang
119;Lindungi Dokter dari Paparan COVID-19, BPPT RI Luncurkan Aplikasi Mobile Covid Track;1.0;lindungi dokter dari paparan allcaps covid allcaps number allcaps bppt ri allcaps luncurkan aplikasi mobile covid track;['lindungi', 'dokter', 'dari', 'paparan', 'allcaps', 'covid', 'allcaps', 'number', 'allcaps', 'bppt', 'ri', 'allcaps', 'luncurkan', 'aplikasi', 'mobile', 'covid', 'track'];['lindungi', 'dokter', 'dari', 'paparan', 'allcaps', 'covid', 'allcaps', 'number', 'allcaps', 'bppt', 'di', 'allcaps', 'luncurkan', 'aplikasi', 'mobile', 'covid', 'track'];['lindungi', 'dokter', 'paparan', 'allcaps', 'covid', 'allcaps', 'number', 'allcaps', 'bppt', 'allcaps', 'luncurkan', 'aplikasi', 'mobile', 'covid', 'track'];lindungi dokter paparan allcaps covid allcaps number allcaps bppt allcaps luncurkan aplikasi mobile covid track;lindung dokter papar allcaps covid allcaps number allcaps bppt allcaps luncur aplikasi mobile covid track
120;Semoga insan2 bocah kontol mampus kena covid-19 ya.;-1.0;semoga insan2 bocah kontol mampus kena covid number ya;['semoga', 'insan2', 'bocah', 'kontol', 'mampus', 'kena', 'covid', 'number', 'ya'];['semoga', 'insan2', 'bocah', 'kontol', 'rasakan', 'kena', 'covid', 'number', 'iya'];['semoga', 'insan2', 'bocah', 'kontol', 'rasakan', 'kena', 'covid', 'number', 'iya'];semoga insan2 bocah kontol rasakan kena covid number iya;moga insan2 bocah kontol rasa kena covid number iya
121;gejala covid-20;0.0;gejala covid number;['gejala', 'covid', 'number'];['gejala', 'covid', 'number'];['gejala', 'covid', 'number'];gejala covid number;gejala covid number
122;Jumat 10/04/2020Kesadaran masyarakat akan pentingnya berdiam diri dirumah dalam memutus penyebaran virus covid 19 sangat besar dan dari kesadaran diri sendiri, terlihat dr pantauan Kijang Patroli 11.34 Klungkung disimpang Lepang bypass IB Mantra Klungkung terpantau tipis lancar;1.0;jumat number number 2 0 2 0 kesadaran masyarakat akan pentingnya berdiam diri dirumah dalam memutus penyebaran virus covid number sangat besar dan dari kesadaran diri sendiri terlihat dr pantauan kijang patroli number klungkung disimpang lepang bypass ib mantra klungkung terpantau tipis lancar;['jumat', 'number', 'number', '2', '0', '2', '0', 'kesadaran', 'masyarakat', 'akan', 'pentingnya', 'berdiam', 'diri', 'dirumah', 'dalam', 'memutus', 'penyebaran', 'virus', 'covid', 'number', 'sangat', 'besar', 'dan', 'dari', 'kesadaran', 'diri', 'sendiri', 'terlihat', 'dr', 'pantauan', 'kijang', 'patroli', 'number', 'klungkung', 'disimpang', 'lepang', 'bypass', 'ib', 'mantra', 'klungkung', 'terpantau', 'tipis', 'lancar'];['jumat', 'number', 'number', '2', '0', '2', '0', 'kesadaran', 'masyarakat', 'akan', 'pentingnya', 'berdiam', 'diri', 'dirumah', 'dalam', 'memutus', 'penyebaran', 'virus', 'covid', 'number', 'sangat', 'besar', 'dan', 'dari', 'kesadaran', 'diri', 'sendiri', 'terlihat', 'dari', 'pantauan', 'kijang', 'patroli', 'number', 'klungkung', 'disimpang', 'lepang', 'bypass', 'ib', 'mantra', 'klungkung', 'terpantau', 'tipis', 'lancar'];['jumat', 'number', 'number', '2', '0', '2', '0', 'kesadaran', 'masyarakat', 'berdiam', 'dirumah', 'memutus', 'penyebaran', 'virus', 'covid', 'number', 'kesadaran', 'pantauan', 'kijang', 'patroli', 'number', 'klungkung', 'disimpang', 'lepang', 'bypass', 'ib', 'mantra', 'klungkung', 'terpantau', 'tipis', 'lancar'];jumat number number 2 0 2 0 kesadaran masyarakat berdiam dirumah memutus penyebaran virus covid number kesadaran pantauan kijang patroli number klungkung disimpang lepang bypass ib mantra klungkung terpantau tipis lancar;jumat number number 2 0 2 0 sadar masyarakat diam rumah putus sebar virus covid number sadar pantau kijang patroli number klungkung simpang lepang bypass ib mantra klungkung pantau tipis lancar
123;Selamat Pagi. Rute Tebet-Depok tersedia pkl 17:33 WIB, untuk Informasi lengkap jadwal perjalanan KRL mulai 10 April 2020, bisa di lihat pada website link berikut : Tks.;0.0;selamat pagi rute tebet depok tersedia pkl time allcaps wib allcaps untuk informasi lengkap jadwal perjalanan allcaps krl allcaps mulai date bisa di lihat pada website link berikut tks;['selamat', 'pagi', 'rute', 'tebet', 'depok', 'tersedia', 'pkl', 'time', 'allcaps', 'wib', 'allcaps', 'untuk', 'informasi', 'lengkap', 'jadwal', 'perjalanan', 'allcaps', 'krl', 'allcaps', 'mulai', 'date', 'bisa', 'di', 'lihat', 'pada', 'website', 'link', 'berikut', 'tks'];['selamat', 'pagi', 'rute', 'tebet', 'depok', 'tersedia', 'pkl', 'time', 'allcaps', 'wib', 'allcaps', 'untuk', 'informasi', 'lengkap', 'jadwal', 'perjalanan', 'allcaps', 'krl', 'allcaps', 'mulai', 'date', 'bisa', 'di', 'lihat', 'pada', 'website', 'link', 'berikut', 'tks'];['selamat', 'pagi', 'rute', 'tebet', 'depok', 'tersedia', 'pkl', 'time', 'allcaps', 'wib', 'allcaps', 'informasi', 'lengkap', 'jadwal', 'perjalanan', 'allcaps', 'krl', 'allcaps', 'date', 'lihat', 'website', 'link', 'tks'];selamat pagi rute tebet depok tersedia pkl time allcaps wib allcaps informasi lengkap jadwal perjalanan allcaps krl allcaps date lihat website link tks;selamat pagi rute tebet depok sedia pkl time allcaps wib allcaps informasi lengkap jadwal jalan allcaps krl allcaps date lihat website link tks
124;Sangat disayangkan, Gorontalo gagal bertahan sebagai daerah bebas Covid-19 hanya karena keegoisan suatu kaum yang enggan tawakal dan memilih untuk takabur;0.0;sangat disayangkan gorontalo gagal bertahan sebagai daerah bebas covid number hanya karena keegoisan suatu kaum yang enggan tawakal dan memilih untuk takabur;['sangat', 'disayangkan', 'gorontalo', 'gagal', 'bertahan', 'sebagai', 'daerah', 'bebas', 'covid', 'number', 'hanya', 'karena', 'keegoisan', 'suatu', 'kaum', 'yang', 'enggan', 'tawakal', 'dan', 'memilih', 'untuk', 'takabur'];['sangat', 'disayangkan', 'gorontalo', 'gagal', 'bertahan', 'sebagai', 'daerah', 'bebas', 'covid', 'number', 'hanya', 'karena', 'keegoisan', 'suatu', 'kaum', 'yang', 'enggan', 'tawakal', 'dan', 'memilih', 'untuk', 'takabur'];['disayangkan', 'gorontalo', 'gagal', 'bertahan', 'daerah', 'bebas', 'covid', 'number', 'keegoisan', 'kaum', 'enggan', 'tawakal', 'memilih', 'takabur'];disayangkan gorontalo gagal bertahan daerah bebas covid number keegoisan kaum enggan tawakal memilih takabur;sayang gorontalo gagal tahan daerah bebas covid number egois kaum enggan tawakal pilih takabur
125;Udah pasti sekrg akan berlindung di balik wabah, gak bisa naikkan gaji krn hrs re-alokasikan dana utk respon Covid-19.;0.0;udah pasti sekrg akan berlindung di balik wabah gak bisa naikkan gaji krn hrs re alokasikan dana utk respon covid number;['udah', 'pasti', 'sekrg', 'akan', 'berlindung', 'di', 'balik', 'wabah', 'gak', 'bisa', 'naikkan', 'gaji', 'krn', 'hrs', 're', 'alokasikan', 'dana', 'utk', 'respon', 'covid', 'number'];['sudah', 'pasti', 'sekrg', 'akan', 'berlindung', 'di', 'balik', 'wabah', 'tidak', 'bisa', 'naikkan', 'gaji', 'karena', 'harus', 're', 'alokasikan', 'dana', 'untuk', 'respon', 'covid', 'number'];['sekrg', 'berlindung', 'wabah', 'naikkan', 'gaji', 're', 'alokasikan', 'dana', 'respon', 'covid', 'number'];sekrg berlindung wabah naikkan gaji re alokasikan dana respon covid number;sekrg lindung wabah naik gaji re alokasi dana respon covid number
126;"Bayar dlm kereta, x payah ke kaunter""Musim COVID-19 ni, elakkn guna cash!Guna aplikasi SETEL dlm kereta SAHAJA! Gunakn Setel pam minyak Setel & nikmati RM5 PERCUMA slps pembelian petrol RM30 pertama anda!Kod rujukan : Download setel sekarang! ";0.0;bayar dlm kereta payah ke kaunter musim allcaps covid allcaps number ni elakkn guna cash guna aplikasi allcaps setel allcaps dlm kereta allcaps sahaja allcaps gunakn setel pam minyak setel nikmati rm5 allcaps percuma allcaps slps pembelian petrol rm30 pertama anda kod rujukan download setel sekarang;['bayar', 'dlm', 'kereta', 'payah', 'ke', 'kaunter', 'musim', 'allcaps', 'covid', 'allcaps', 'number', 'ni', 'elakkn', 'guna', 'cash', 'guna', 'aplikasi', 'allcaps', 'setel', 'allcaps', 'dlm', 'kereta', 'allcaps', 'sahaja', 'allcaps', 'gunakn', 'setel', 'pam', 'minyak', 'setel', 'nikmati', 'rm5', 'allcaps', 'percuma', 'allcaps', 'slps', 'pembelian', 'petrol', 'rm30', 'pertama', 'anda', 'kod', 'rujukan', 'download', 'setel', 'sekarang'];['bayar', 'dalam', 'kereta', 'payah', 'ke', 'kaunter', 'musim', 'allcaps', 'covid', 'allcaps', 'number', 'ini', 'elakkn', 'guna', 'cash', 'guna', 'aplikasi', 'allcaps', 'setel', 'allcaps', 'dalam', 'kereta', 'allcaps', 'sahaja', 'allcaps', 'gunakn', 'setel', 'pam', 'minyak', 'setel', 'nikmati', 'rm5', 'allcaps', 'percuma', 'allcaps', 'slps', 'pembelian', 'petrol', 'rm30', 'pertama', 'anda', 'kod', 'rujukan', 'download', 'setel', 'sekarang'];['bayar', 'kereta', 'payah', 'kaunter', 'musim', 'allcaps', 'covid', 'allcaps', 'number', 'elakkn', 'cash', 'aplikasi', 'allcaps', 'setel', 'allcaps', 'kereta', 'allcaps', 'sahaja', 'allcaps', 'gunakn', 'setel', 'pam', 'minyak', 'setel', 'nikmati', 'rm5', 'allcaps', 'allcaps', 'slps', 'pembelian', 'petrol', 'rm30', 'kod', 'rujukan', 'download', 'setel'];bayar kereta payah kaunter musim allcaps covid allcaps number elakkn cash aplikasi allcaps setel allcaps kereta allcaps sahaja allcaps gunakn setel pam minyak setel nikmati rm5 allcaps allcaps slps pembelian petrol rm30 kod rujukan download setel;bayar kereta payah kaunter musim allcaps covid allcaps number elakkn cash aplikasi allcaps setel allcaps kereta allcaps sahaja allcaps gunakn setel pam minyak setel nikmat rm5 allcaps allcaps slps beli petrol rm30 kod rujuk download setel
127;Musim sakit macam ni kan agak2 u all hantu jin momok kena tak covid 19 ni tak;-1.0;musim sakit macam ni kan agak2 all hantu jin momok kena tak covid number ni tak;['musim', 'sakit', 'macam', 'ni', 'kan', 'agak2', 'all', 'hantu', 'jin', 'momok', 'kena', 'tak', 'covid', 'number', 'ni', 'tak'];['musim', 'sakit', 'macam', 'ini', 'kan', 'agak2', 'all', 'hantu', 'jin', 'momok', 'kena', 'tak', 'covid', 'number', 'ini', 'tak'];['musim', 'sakit', 'agak2', 'all', 'hantu', 'jin', 'momok', 'kena', 'covid', 'number'];musim sakit agak2 all hantu jin momok kena covid number;musim sakit agak2 all hantu jin momok kena covid number
128;3. Langkah yg dapat di ambil pemerintah dalam mengatasi dampak Covid-19 terhadap Perekonomian Indonesia Jawab :Menjaga konsumsi rumah tangga miskin melalui berbagai program yang dapat dilakukan segera coverage besar, dan berdampak langsung ke covid 19;1.0;number langkah yg dapat di ambil pemerintah dalam mengatasi dampak covid number terhadap perekonomian indonesia jawab menjaga konsumsi rumah tangga miskin melalui berbagai program yang dapat dilakukan segera coverage besar dan berdampak langsung ke covid number;['number', 'langkah', 'yg', 'dapat', 'di', 'ambil', 'pemerintah', 'dalam', 'mengatasi', 'dampak', 'covid', 'number', 'terhadap', 'perekonomian', 'indonesia', 'jawab', 'menjaga', 'konsumsi', 'rumah', 'tangga', 'miskin', 'melalui', 'berbagai', 'program', 'yang', 'dapat', 'dilakukan', 'segera', 'coverage', 'besar', 'dan', 'berdampak', 'langsung', 'ke', 'covid', 'number'];['number', 'langkah', 'yang', 'dapat', 'di', 'ambil', 'pemerintah', 'dalam', 'mengatasi', 'dampak', 'covid', 'number', 'terhadap', 'perekonomian', 'indonesia', 'jawab', 'menjaga', 'konsumsi', 'rumah', 'tangga', 'miskin', 'melalui', 'berbagai', 'program', 'yang', 'dapat', 'dilakukan', 'segera', 'coverage', 'besar', 'dan', 'berdampak', 'langsung', 'ke', 'covid', 'number'];['number', 'langkah', 'ambil', 'pemerintah', 'mengatasi', 'dampak', 'covid', 'number', 'perekonomian', 'indonesia', 'menjaga', 'konsumsi', 'rumah', 'tangga', 'miskin', 'program', 'coverage', 'berdampak', 'langsung', 'covid', 'number'];number langkah ambil pemerintah mengatasi dampak covid number perekonomian indonesia menjaga konsumsi rumah tangga miskin program coverage berdampak langsung covid number;number langkah ambil perintah atas dampak covid number ekonomi indonesia jaga konsumsi rumah tangga miskin program coverage dampak langsung covid number
129;Mendikbud Nadiem Makarim mengambil keputusan terkait pencairan dana KIP atau Kartu Indonesia Pintar di tengah pandemi virus corona COVID-19.;1.0;mendikbud nadiem makarim mengambil keputusan terkait pencairan dana allcaps kip allcaps atau kartu indonesia pintar di tengah pandemi virus corona allcaps covid allcaps number;['mendikbud', 'nadiem', 'makarim', 'mengambil', 'keputusan', 'terkait', 'pencairan', 'dana', 'allcaps', 'kip', 'allcaps', 'atau', 'kartu', 'indonesia', 'pintar', 'di', 'tengah', 'pandemi', 'virus', 'corona', 'allcaps', 'covid', 'allcaps', 'number'];['mendikbud', 'nadiem', 'makarim', 'mengambil', 'keputusan', 'terkait', 'pencairan', 'dana', 'allcaps', 'kip', 'allcaps', 'atau', 'kartu', 'indonesia', 'pintar', 'di', 'tengah', 'pandemi', 'virus', 'corona', 'allcaps', 'covid', 'allcaps', 'number'];['mendikbud', 'nadiem', 'makarim', 'mengambil', 'keputusan', 'terkait', 'pencairan', 'dana', 'allcaps', 'kip', 'allcaps', 'kartu', 'indonesia', 'pintar', 'pandemi', 'virus', 'corona', 'allcaps', 'covid', 'allcaps', 'number'];mendikbud nadiem makarim mengambil keputusan terkait pencairan dana allcaps kip allcaps kartu indonesia pintar pandemi virus corona allcaps covid allcaps number;mendikbud nadiem makarim ambil putus kait cair dana allcaps kip allcaps kartu indonesia pintar pandemi virus corona allcaps covid allcaps number
130;Kadar kematian COVID-19 di Malaysia masih rendah.;1.0;kadar kematian allcaps covid allcaps number di malaysia masih rendah;['kadar', 'kematian', 'allcaps', 'covid', 'allcaps', 'number', 'di', 'malaysia', 'masih', 'rendah'];['kadar', 'kematian', 'allcaps', 'covid', 'allcaps', 'number', 'di', 'malaysia', 'masih', 'rendah'];['kadar', 'kematian', 'allcaps', 'covid', 'allcaps', 'number', 'malaysia', 'rendah'];kadar kematian allcaps covid allcaps number malaysia rendah;kadar mati allcaps covid allcaps number malaysia rendah
131;Pecah telor Sarjana Covid-19!;0.0;pecah telor sarjana covid number;['pecah', 'telor', 'sarjana', 'covid', 'number'];['pecah', 'telor', 'sarjana', 'covid', 'number'];['pecah', 'telor', 'sarjana', 'covid', 'number'];pecah telor sarjana covid number;pecah telor sarjana covid number
132;Baru dapet info kalo di gang sebelah rumah di Lumajang udah ada yg positif Covid-19, semoga seluruh keluarga disana aman.;1.0;baru dapet info kalo di gang sebelah rumah di lumajang udah ada yg positif covid number semoga seluruh keluarga disana aman;['baru', 'dapet', 'info', 'kalo', 'di', 'gang', 'sebelah', 'rumah', 'di', 'lumajang', 'udah', 'ada', 'yg', 'positif', 'covid', 'number', 'semoga', 'seluruh', 'keluarga', 'disana', 'aman'];['baru', 'mendapat', 'info', 'kalau', 'di', 'gang', 'sebelah', 'rumah', 'di', 'lumajang', 'sudah', 'ada', 'yang', 'positif', 'covid', 'number', 'semoga', 'seluruh', 'keluarga', 'disana', 'aman'];['info', 'gang', 'sebelah', 'rumah', 'lumajang', 'positif', 'covid', 'number', 'semoga', 'keluarga', 'disana', 'aman'];info gang sebelah rumah lumajang positif covid number semoga keluarga disana aman;info gang belah rumah lumajang positif covid number moga keluarga sana aman
133;Darurat militer saja pemerintah bias mewajibkan rakyat sebagai serdadu. Darurat wabah covid-19 dan kesehatan tentu bisa dilakukan untuk mewajibkan para konglomerat untuk keluarkan hartanya untuk kepentingan bersama.;1.0;darurat militer saja pemerintah bias mewajibkan rakyat sebagai serdadu darurat wabah covid number dan kesehatan tentu bisa dilakukan untuk mewajibkan para konglomerat untuk keluarkan hartanya untuk kepentingan bersama;['darurat', 'militer', 'saja', 'pemerintah', 'bias', 'mewajibkan', 'rakyat', 'sebagai', 'serdadu', 'darurat', 'wabah', 'covid', 'number', 'dan', 'kesehatan', 'tentu', 'bisa', 'dilakukan', 'untuk', 'mewajibkan', 'para', 'konglomerat', 'untuk', 'keluarkan', 'hartanya', 'untuk', 'kepentingan', 'bersama'];['darurat', 'militer', 'saja', 'pemerintah', 'bias', 'mewajibkan', 'rakyat', 'sebagai', 'serdadu', 'darurat', 'wabah', 'covid', 'number', 'dan', 'kesehatan', 'tentu', 'bisa', 'dilakukan', 'untuk', 'mewajibkan', 'para', 'konglomerat', 'untuk', 'keluarkan', 'hartanya', 'untuk', 'kepentingan', 'bersama'];['darurat', 'militer', 'pemerintah', 'bias', 'mewajibkan', 'rakyat', 'serdadu', 'darurat', 'wabah', 'covid', 'number', 'kesehatan', 'mewajibkan', 'konglomerat', 'keluarkan', 'hartanya', 'kepentingan'];darurat militer pemerintah bias mewajibkan rakyat serdadu darurat wabah covid number kesehatan mewajibkan konglomerat keluarkan hartanya kepentingan;darurat militer perintah bias wajib rakyat serdadu darurat wabah covid number sehat wajib konglomerat keluar harta penting
134;Tapi anis ni tak main tiktok dan alhamdulillah tak kena covid.;0.0;tapi anis ni tak main tiktok dan alhamdulillah tak kena covid;['tapi', 'anis', 'ni', 'tak', 'main', 'tiktok', 'dan', 'alhamdulillah', 'tak', 'kena', 'covid'];['tapi', 'anis', 'ini', 'tak', 'main', 'tiktok', 'dan', 'syukur', 'tak', 'kena', 'covid'];['anis', 'main', 'tiktok', 'syukur', 'kena', 'covid'];anis main tiktok syukur kena covid;anis main tiktok syukur kena covid
135;Sbnarnya sudah tdk kaget klo di suruh tinggal rumah, sudah terbiasa dri dulu juga social distancing, krna Ada yg lebih mematikan dalam masyarakat lebih dri covid, yaitu kebodohan~;-1.0;sbnarnya sudah tdk kaget klo di suruh tinggal rumah sudah terbiasa dri dulu juga social distancing krna ada yg lebih mematikan dalam masyarakat lebih dri covid yaitu kebodohan;['sbnarnya', 'sudah', 'tdk', 'kaget', 'klo', 'di', 'suruh', 'tinggal', 'rumah', 'sudah', 'terbiasa', 'dri', 'dulu', 'juga', 'social', 'distancing', 'krna', 'ada', 'yg', 'lebih', 'mematikan', 'dalam', 'masyarakat', 'lebih', 'dri', 'covid', 'yaitu', 'kebodohan'];['sbnarnya', 'sudah', 'tidak', 'kaget', 'kalau', 'di', 'suruh', 'tinggal', 'rumah', 'sudah', 'terbiasa', 'dari', 'dulu', 'juga', 'social', 'distancing', 'karena', 'ada', 'yang', 'lebih', 'mematikan', 'dalam', 'masyarakat', 'lebih', 'dari', 'covid', 'yaitu', 'kebodohan'];['sbnarnya', 'kaget', 'suruh', 'tinggal', 'rumah', 'terbiasa', 'social', 'distancing', 'mematikan', 'masyarakat', 'covid', 'kebodohan'];sbnarnya kaget suruh tinggal rumah terbiasa social distancing mematikan masyarakat covid kebodohan;sbnarnya kaget suruh tinggal rumah biasa social distancing mati masyarakat covid bodoh
136;Badan POM luncurkan informatorium obat COVID-19 bersamaan dengan FGD online tentang penanggulangan COVID-19.Informatorium ini berisi informasi terkait perkembangan obat COVID-19 di dunia dan tata;1.0;badan allcaps pom allcaps luncurkan informatorium obat allcaps covid allcaps number bersamaan dengan allcaps fgd allcaps online tentang penanggulangan allcaps covid allcaps number informatorium ini berisi informasi terkait perkembangan obat allcaps covid allcaps number di dunia dan tata;['badan', 'allcaps', 'pom', 'allcaps', 'luncurkan', 'informatorium', 'obat', 'allcaps', 'covid', 'allcaps', 'number', 'bersamaan', 'dengan', 'allcaps', 'fgd', 'allcaps', 'online', 'tentang', 'penanggulangan', 'allcaps', 'covid', 'allcaps', 'number', 'informatorium', 'ini', 'berisi', 'informasi', 'terkait', 'perkembangan', 'obat', 'allcaps', 'covid', 'allcaps', 'number', 'di', 'dunia', 'dan', 'tata'];['badan', 'allcaps', 'pom', 'allcaps', 'luncurkan', 'informatorium', 'obat', 'allcaps', 'covid', 'allcaps', 'number', 'bersamaan', 'dengan', 'allcaps', 'fgd', 'allcaps', 'online', 'tentang', 'penanggulangan', 'allcaps', 'covid', 'allcaps', 'number', 'informatorium', 'ini', 'berisi', 'informasi', 'terkait', 'perkembangan', 'obat', 'allcaps', 'covid', 'allcaps', 'number', 'di', 'dunia', 'dan', 'tata'];['badan', 'allcaps', 'pom', 'allcaps', 'luncurkan', 'informatorium', 'obat', 'allcaps', 'covid', 'allcaps', 'number', 'bersamaan', 'allcaps', 'fgd', 'allcaps', 'online', 'penanggulangan', 'allcaps', 'covid', 'allcaps', 'number', 'informatorium', 'berisi', 'informasi', 'terkait', 'perkembangan', 'obat', 'allcaps', 'covid', 'allcaps', 'number', 'dunia', 'tata'];badan allcaps pom allcaps luncurkan informatorium obat allcaps covid allcaps number bersamaan allcaps fgd allcaps online penanggulangan allcaps covid allcaps number informatorium berisi informasi terkait perkembangan obat allcaps covid allcaps number dunia tata;badan allcaps pom allcaps luncur informatorium obat allcaps covid allcaps number sama allcaps fgd allcaps online tanggulang allcaps covid allcaps number informatorium isi informasi kait kembang obat allcaps covid allcaps number dunia tata
